Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
06.02.2022 00:00:00;Salzburg;5;560710;1883;172015;15380;2742,951;1;825;2209;150845
06.02.2022 00:00:00;Steiermark;6;1247077;3686;247555;33641;2697,588;1;2561;4518;205586
06.02.2022 00:00:00;Tirol;7;760105;2376;219041;23804;3131,673;1;865;3644;187274
06.02.2022 00:00:00;Vorarlberg;8;399237;917;101139;11077;2774,542;2;465;1733;84944
06.02.2022 00:00:00;Wien;9;1920949;4853;442885;46844;2438,586;8;2928;4875;289760
06.02.2022 00:00:00;Österreich;10;8932664;26009;2095321;231914;2596,247;17;13794;28308;1693696
07.02.2022 00:00:00;Burgenland;1;296010;961;53887;6912;2335,056;1;418;799;43724
07.02.2022 00:00:00;Kärnten;2;562089;1689;130366;15896;2828,022;2;1131;1591;109579
07.02.2022 00:00:00;Niederösterreich;3;1690879;4678;346140;38648;2285,675;2;2195;5329;297373
07.02.2022 00:00:00;Oberösterreich;4;1495608;6176;395797;42483;2840,517;7;2418;4715;337045
07.02.2022 00:00:00;Salzburg;5;560710;1144;173159;14757;2631,842;0;825;2184;153029
07.02.2022 00:00:00;Steiermark;6;1247077;3292;250847;33392;2677,621;3;2564;4379;209965
07.02.2022 00:00:00;Tirol;7;760105;3099;222140;22643;2978,931;0;865;4370;191644
07.02.2022 00:00:00;Vorarlberg;8;399237;1992;103131;11349;2842,672;1;466;1616;86560
07.02.2022 00:00:00;Wien;9;1920949;5834;448719;46871;2439,992;8;2936;4863;294623
07.02.2022 00:00:00;Österreich;10;8932664;28865;2124186;232951;2607,856;24;13818;29846;1723542
08.02.2022 00:00:00;Burgenland;1;296010;1204;55091;6829;2307,017;0;418;847;44571
08.02.2022 00:00:00;Kärnten;2;562089;3433;133799;17058;3034,751;1;1132;1634;111213
08.02.2022 00:00:00;Niederösterreich;3;1690879;5964;352104;37041;2190,636;3;2198;5018;302391
08.02.2022 00:00:00;Oberösterreich;4;1495608;7495;403292;42793;2861,244;2;2420;4550;341595
08.02.2022 00:00:00;Salzburg;5;560710;3096;176255;14916;2660,199;1;826;2085;155114
08.02.2022 00:00:00;Steiermark;6;1247077;5992;256839;32754;2626,462;1;2565;4607;214572
08.02.2022 00:00:00;Tirol;7;760105;3285;225425;22371;2943,146;0;865;3966;195610
08.02.2022 00:00:00;Vorarlberg;8;399237;2421;105552;11724;2936,602;2;468;1501;88061
08.02.2022 00:00:00;Wien;9;1920949;7071;455790;43320;2255,135;4;2940;9042;303665
08.02.2022 00:00:00;Österreich;10;8932664;39961;2164147;228806;2561,453;14;13832;33250;1756792
09.02.2022 00:00:00;Burgenland;1;296010;778;55869;6607;2232,019;0;418;1285;45856
09.02.2022 00:00:00;Kärnten;2;562089;2816;136615;17623;3135,269;1;1133;1801;113014
09.02.2022 00:00:00;Niederösterreich;3;1690879;5215;357319;37016;2189,157;2;2200;5339;307730
09.02.2022 00:00:00;Oberösterreich;4;1495608;7187;410479;43560;2912,528;5;2425;5610;347205
09.02.2022 00:00:00;Salzburg;5;560710;2124;178379;14784;2636,657;1;827;1979;157093
09.02.2022 00:00:00;Steiermark;6;1247077;5165;262004;32817;2631,513;1;2566;4751;219323
09.02.2022 00:00:00;Tirol;7;760105;3316;228741;22080;2904,862;0;865;4456;200066
09.02.2022 00:00:00;Vorarlberg;8;399237;2268;107820;12674;3174,555;0;468;1945;90006
09.02.2022 00:00:00;Wien;9;1920949;6532;462322;43333;2255,812;5;2945;14458;318123
09.02.2022 00:00:00;Österreich;10;8932664;35401;2199548;230494;2580,35;15;13847;41624;1798416
10.02.2022 00:00:00;Burgenland;1;296010;879;56748;6422;2169,521;0;418;1217;47073
10.02.2022 00:00:00;Kärnten;2;562089;2634;139249;18127;3224,934;2;1135;2257;115271
10.02.2022 00:00:00;Niederösterreich;3;1690879;5705;363024;36655;2167,807;3;2203;5662;313392
10.02.2022 00:00:00;Oberösterreich;4;1495608;6492;416971;43319;2896,414;7;2432;5504;352709
10.02.2022 00:00:00;Salzburg;5;560710;2529;180908;14886;2654,848;0;827;2022;159115
10.02.2022 00:00:00;Steiermark;6;1247077;4739;266743;32171;2579,712;4;2570;4558;223881
10.02.2022 00:00:00;Tirol;7;760105;3015;231756;21319;2804,744;0;865;3805;203871
10.02.2022 00:00:00;Vorarlberg;8;399237;1680;109500;12400;3105,925;0;468;2120;92126
10.02.2022 00:00:00;Wien;9;1920949;5861;468183;41802;2176,112;5;2950;16790;334913
10.02.2022 00:00:00;Österreich;10;8932664;33534;2233082;227101;2542,366;21;13868;43935;1842351
11.02.2022 00:00:00;Burgenland;1;296010;796;57544;6089;2057,025;0;418;1137;48210
11.02.2022 00:00:00;Kärnten;2;562089;1953;141202;17245;3068,02;4;1139;2112;117383
11.02.2022 00:00:00;Niederösterreich;3;1690879;5090;368114;36411;2153,377;2;2205;5520;318912
11.02.2022 00:00:00;Oberösterreich;4;1495608;5397;422368;43507;2908,984;5;2437;6551;359260
11.02.2022 00:00:00;Salzburg;5;560710;1626;182534;14248;2541,064;3;830;2677;161792
11.02.2022 00:00:00;Steiermark;6;1247077;5062;271805;32161;2578,911;4;2574;5688;229569
11.02.2022 00:00:00;Tirol;7;760105;2633;234389;20619;2712,652;0;865;3515;207386
11.02.2022 00:00:00;Vorarlberg;8;399237;1823;111323;12367;3097,659;3;471;1764;93890
11.02.2022 00:00:00;Wien;9;1920949;5567;473750;41134;2141,337;8;2958;14019;348932
11.02.2022 00:00:00;Österreich;10;8932664;29947;2263029;223781;2505,199;29;13897;42983;1885334
12.02.2022 00:00:00;Burgenland;1;296010;611;58155;5676;1917,503;0;418;1017;49227
12.02.2022 00:00:00;Kärnten;2;562089;1544;142746;16211;2884,063;1;1140;2052;119435
12.02.2022 00:00:00;Niederösterreich;3;1690879;4873;372987;35921;2124,398;2;2207;5976;324888
12.02.2022 00:00:00;Oberösterreich;4;1495608;4928;427296;42984;2874,015;3;2440;6836;366096
12.02.2022 00:00:00;Salzburg;5;560710;1372;183906;13774;2456,528;3;833;2188;163980
12.02.2022 00:00:00;Steiermark;6;1247077;3724;275529;31660;2538,737;8;2582;4791;234360
12.02.2022 00:00:00;Tirol;7;760105;1904;236293;19628;2582,275;0;865;3036;210422
12.02.2022 00:00:00;Vorarlberg;8;399237;1383;112706;12484;3126,965;3;474;1791;95681
12.02.2022 00:00:00;Wien;9;1920949;4816;478566;40534;2110,103;10;2968;12374;361306
12.02.2022 00:00:00;Österreich;10;8932664;25155;2288184;218872;2450,243;30;13927;40061;1925395
13.02.2022 00:00:00;Burgenland;1;296010;752;58907;5981;2020,54;0;418;997;50224
13.02.2022 00:00:00;Kärnten;2;562089;1517;144263;15586;2772,871;4;1144;2531;121966
13.02.2022 00:00:00;Niederösterreich;3;1690879;4943;377930;36468;2156,748;2;2209;6004;330892
13.02.2022 00:00:00;Oberösterreich;4;1495608;4091;431387;41766;2792,577;1;2441;6360;372456
13.02.2022 00:00:00;Salzburg;5;560710;1502;185408;13393;2388,579;2;835;2291;166271
13.02.2022 00:00:00;Steiermark;6;1247077;2972;278501;30946;2481,483;2;2584;4666;239026
13.02.2022 00:00:00;Tirol;7;760105;1845;238138;19097;2512,416;0;865;3302;213724
13.02.2022 00:00:00;Vorarlberg;8;399237;1135;113841;12702;3181,569;1;475;1706;97387
13.02.2022 00:00:00;Wien;9;1920949;5460;484026;41141;2141,702;6;2974;13439;374745
13.02.2022 00:00:00;Österreich;10;8932664;24217;2312401;217080;2430,182;18;13945;41296;1966691
14.02.2022 00:00:00;Burgenland;1;296010;635;59542;5655;1910,408;2;420;1109;51333
14.02.2022 00:00:00;Kärnten;2;562089;1500;145763;15397;2739,246;6;1150;2644;124610
14.02.2022 00:00:00;Niederösterreich;3;1690879;5123;383053;36913;2183,066;0;2209;5132;336024
14.02.2022 00:00:00;Oberösterreich;4;1495608;4718;436105;40308;2695,091;9;2450;5937;378393
14.02.2022 00:00:00;Salzburg;5;560710;1119;186527;13368;2384,12;0;835;2233;168504
14.02.2022 00:00:00;Steiermark;6;1247077;3092;281593;30746;2465,445;1;2585;4323;243349
14.02.2022 00:00:00;Tirol;7;760105;2923;241061;18921;2489,261;0;865;3005;216729
14.02.2022 00:00:00;Vorarlberg;8;399237;1425;115266;12135;3039,548;0;475;1988;99375
14.02.2022 00:00:00;Wien;9;1920949;6082;490108;41389;2154,612;10;2984;12069;386814
14.02.2022 00:00:00;Österreich;10;8932664;26617;2339018;214832;2405,016;28;13973;38440;2005131
15.02.2022 00:00:00;Burgenland;1;296010;787;60329;5238;1769,535;0;420;977;52310
15.02.2022 00:00:00;Kärnten;2;562089;2015;147778;13979;2486,973;2;1152;2530;127140
15.02.2022 00:00:00;Niederösterreich;3;1690879;8820;391873;39769;2351,972;2;2211;5320;341344
15.02.2022 00:00:00;Oberösterreich;4;1495608;6432;442537;39245;2624,016;4;2454;7338;385731
15.02.2022 00:00:00;Salzburg;5;560710;1918;188445;12190;2174,029;0;835;2228;170732
15.02.2022 00:00:00;Steiermark;6;1247077;5680;287273;30434;2440,427;8;2593;4768;248117
15.02.2022 00:00:00;Tirol;7;760105;2976;244037;18612;2448,609;0;865;3803;220532
15.02.2022 00:00:00;Vorarlberg;8;399237;1504;116770;11218;2809,86;3;478;1962;101337
15.02.2022 00:00:00;Wien;9;1920949;8844;498952;43162;2246,91;7;2991;20376;407190
15.02.2022 00:00:00;Österreich;10;8932664;38976;2377994;213847;2393,989;26;13999;49302;2054433
16.02.2022 00:00:00;Burgenland;1;296010;803;61132;5263;1777,98;0;420;873;53183
16.02.2022 00:00:00;Kärnten;2;562089;1738;149516;12901;2295,188;1;1153;2393;129533
16.02.2022 00:00:00;Niederösterreich;3;1690879;5983;397856;40537;2397,392;2;2213;4981;346325
16.02.2022 00:00:00;Oberösterreich;4;1495608;6429;448966;38487;2573,335;9;2463;6232;391963
16.02.2022 00:00:00;Salzburg;5;560710;1735;190180;11801;2104,653;2;837;1501;172233
16.02.2022 00:00:00;Steiermark;6;1247077;4370;291643;29639;2376,678;3;2596;4575;252692
16.02.2022 00:00:00;Tirol;7;760105;2718;246755;18014;2369,936;1;866;3019;223551
16.02.2022 00:00:00;Vorarlberg;8;399237;1307;118077;10257;2569,151;0;478;1861;103198
16.02.2022 00:00:00;Wien;9;1920949;5913;504865;42543;2214,687;4;2995;6456;413646
16.02.2022 00:00:00;Österreich;10;8932664;30996;2408990;209442;2344,676;22;14021;31891;2086324
17.02.2022 00:00:00;Burgenland;1;296010;592;61724;4976;1681,024;1;421;769;53952
17.02.2022 00:00:00;Kärnten;2;562089;1977;151493;12244;2178,303;3;1156;2513;132046
17.02.2022 00:00:00;Niederösterreich;3;1690879;6004;403860;40836;2415,075;3;2216;4688;351013
17.02.2022 00:00:00;Oberösterreich;4;1495608;5223;454189;37218;2488,486;3;2466;5759;397722
17.02.2022 00:00:00;Salzburg;5;560710;1790;191970;11062;1972,856;3;840;1533;173766
17.02.2022 00:00:00;Steiermark;6;1247077;4433;296076;29333;2352,14;3;2599;4406;257098
17.02.2022 00:00:00;Tirol;7;760105;2683;249438;17682;2326,258;0;866;3022;226573
17.02.2022 00:00:00;Vorarlberg;8;399237;1229;119306;9806;2456,185;2;480;1683;104881
17.02.2022 00:00:00;Wien;9;1920949;6785;511650;43467;2262,788;7;3002;7351;420997
17.02.2022 00:00:00;Österreich;10;8932664;30716;2439706;206624;2313,128;25;14046;31724;2118048
18.02.2022 00:00:00;Burgenland;1;296010;728;62452;4908;1658,052;2;423;882;54834
18.02.2022 00:00:00;Kärnten;2;562089;1474;152967;11765;2093,085;0;1156;2710;134756
